geo_id,day,cumulative_number_for_14_days_of_covid_19_cases_per_100000
ag,20200724,3.08912115
ag,20200725,8.23765639
ag,20200726,8.23765639
ag,20200727,8.23765639
ag,20200728,12.35648458
ag,20200729,12.35648458
ag,20200730,17.50501982
ag,20200731,17.50501982
ag,20200801,15.44560573
ag,20200802,15.44560573
ag,20200803,15.44560573
ag,20200804,16.47531277
ag,20200805,16.47531277
ag,20200806,16.47531277
ag,20200807,16.47531277
ag,20200808,10.29707048
ag,20200809,10.29707048
ag,20200810,10.29707048
ag,20200811,6.17824229
ag,20200812,6.17824229
ag,20200813,1.02970705
ag,20200814,2.0594141
ag,20200815,2.0594141
ag,20200816,2.0594141
ag,20200817,2.0594141
ag,20200818,1.02970705
ag,20200819,1.02970705
ag,20200820,2.0594141
ag,20200821,2.0594141
ag,20200822,2.0594141
ag,20200823,2.0594141
ag,20200824,2.0594141
ag,20200825,2.0594141
ag,20200826,2.0594141
ag,20200827,2.0594141
ag,20200828,1.02970705
ag,20200829,1.02970705
ag,20200830,1.02970705
ag,20200831,1.02970705
ag,20200901,1.02970705
ag,20200902,1.02970705
ag,20200903,0
ag,20200904,1.02970705
ag,20200905,1.02970705
ag,20200906,1.02970705
ag,20200907,1.02970705
ag,20200908,1.02970705
ag,20200909,1.02970705
ag,20200910,1.02970705
ag,20200911,1.02970705
ag,20200912,1.02970705
