geo_id,day,cases
am,20200422,72
am,20200423,50
am,20200424,73
am,20200425,81
am,20200426,69
am,20200427,62
am,20200428,59
am,20200429,65
am,20200430,134
am,20200501,82
am,20200502,125
am,20200503,113
am,20200504,121
am,20200505,112
am,20200506,163
am,20200507,102
am,20200508,145
am,20200509,146
am,20200510,138
am,20200511,79
am,20200512,146
am,20200513,180
am,20200514,142
am,20200515,184
am,20200516,239
am,20200517,189
am,20200518,351
am,20200519,218
am,20200520,230
am,20200521,335
am,20200522,322
am,20200523,374
am,20200524,359
am,20200525,452
am,20200526,289
am,20200527,372
am,20200528,442
am,20200529,460
am,20200530,251
am,20200531,355
am,20200601,210
am,20200602,517
am,20200603,515
am,20200604,697
am,20200605,596
am,20200606,547
am,20200607,766
am,20200608,195
am,20200609,350
am,20200610,428
am,20200611,566
am,20200612,612
am,20200613,723
am,20200614,663
am,20200615,397
am,20200616,425
am,20200617,544
am,20200618,665
am,20200619,459
am,20200620,551
am,20200621,560
am,20200622,320
am,20200623,418
am,20200624,711
am,20200625,771
am,20200626,759
am,20200627,662
am,20200628,736
am,20200629,482
am,20200630,415
am,20200701,523
am,20200702,593
am,20200703,662
am,20200704,580
am,20200705,706
am,20200706,330
am,20200707,349
am,20200708,535
am,20200709,526
am,20200710,557
am,20200711,489
am,20200712,577
am,20200713,182
am,20200714,339
am,20200715,515
am,20200716,554
am,20200717,442
am,20200718,461
am,20200719,415
am,20200720,104
am,20200721,273
am,20200722,439
am,20200723,469
am,20200724,451
am,20200725,383
am,20200726,321
am,20200727,73
am,20200728,239
am,20200729,308
am,20200730,259
am,20200731,354
am,20200801,291
am,20200802,209
am,20200803,52
am,20200804,0
am,20200805,196
am,20200806,288
am,20200807,233
am,20200808,66
am,20200809,300
am,20200810,225
am,20200811,23
am,20200812,160
am,20200813,201
am,20200814,229
am,20200815,276
am,20200816,196
am,20200817,168
am,20200818,38
am,20200819,145
am,20200820,210
am,20200821,263
am,20200822,158
am,20200823,139
am,20200824,176
am,20200825,33
am,20200826,111
am,20200827,131
am,20200828,203
am,20200829,181
ao,20200322,2
ao,20200323,0
ao,20200324,0
ao,20200325,0
ao,20200326,0
ao,20200327,1
ao,20200328,1
ao,20200329,0
ao,20200330,3
ao,20200331,0
ao,20200401,0
ao,20200402,1
ao,20200403,0
ao,20200404,0
ao,20200405,2
ao,20200406,4
ao,20200407,2
ao,20200408,1
ao,20200409,2
ao,20200410,0
ao,20200411,0
ao,20200412,0
ao,20200413,0
ao,20200414,0
ao,20200415,0
ao,20200416,0
ao,20200417,0
ao,20200418,0
ao,20200419,5
ao,20200420,0
ao,20200421,0
ao,20200422,0
ao,20200423,0
ao,20200424,1
ao,20200425,0
ao,20200426,0
ao,20200427,1
ao,20200428,1
ao,20200429,0
ao,20200430,0
ao,20200501,0
ao,20200502,2
ao,20200503,6
ao,20200504,0
ao,20200505,0
ao,20200506,1
ao,20200507,0
ao,20200508,0
ao,20200509,7
ao,20200510,0
ao,20200511,2
ao,20200512,0
ao,20200513,0
ao,20200514,0
ao,20200515,3
ao,20200516,0
ao,20200517,0
ao,20200518,0
ao,20200519,0
ao,20200520,2
ao,20200521,2
ao,20200522,6
ao,20200523,2
ao,20200524,0
ao,20200525,9
ao,20200526,0
ao,20200527,2
ao,20200528,0
ao,20200529,2
ao,20200530,4
ao,20200531,7
ao,20200601,2
ao,20200602,0
ao,20200603,0
ao,20200604,0
ao,20200605,0
ao,20200606,0
ao,20200607,0
ao,20200608,5
ao,20200609,1
ao,20200610,4
ao,20200611,17
ao,20200612,5
ao,20200613,12
ao,20200614,8
ao,20200615,2
ao,20200616,2
ao,20200617,0
ao,20200618,13
ao,20200619,0
ao,20200620,11
ao,20200621,6
ao,20200622,4
ao,20200623,7
ao,20200624,3
ao,20200625,3
ao,20200626,8
ao,20200627,15
ao,20200628,32
ao,20200629,23
ao,20200630,9
ao,20200701,8
ao,20200702,7
ao,20200703,24
ao,20200704,13
ao,20200705,18
ao,20200706,0
ao,20200707,7
ao,20200708,0
ao,20200709,33
ao,20200710,10
ao,20200711,62
ao,20200712,25
ao,20200713,23
ao,20200714,0
ao,20200715,19
ao,20200716,51
ao,20200717,31
ao,20200718,31
ao,20200719,49
ao,20200720,18
ao,20200721,44
ao,20200722,0
ao,20200723,30
ao,20200724,33
ao,20200725,39
ao,20200726,29
ao,20200727,50
ao,20200728,2
ao,20200729,18
ao,20200730,50
ao,20200731,78
ao,20200801,31
ao,20200802,5
ao,20200803,34
ao,20200804,16
ao,20200805,0
ao,20200806,180
ao,20200807,51
ao,20200808,88
ao,20200809,0
ao,20200810,89
ao,20200811,100
ao,20200812,7
ao,20200813,56
ao,20200814,27
ao,20200815,53
ao,20200816,37
ao,20200817,27
ao,20200818,27
ao,20200819,60
ao,20200820,0
ao,20200821,49
ao,20200822,29
ao,20200823,24
ao,20200824,103
ao,20200825,51
ao,20200826,61
ao,20200827,49
ao,20200828,83
ao,20200829,56
ar,20200304,1
ar,20200306,1
ar,20200307,6
ar,20200308,1
ar,20200309,3
ar,20200311,7
ar,20200313,12
ar,20200314,3
ar,20200315,11
ar,20200316,11
ar,20200317,9
ar,20200318,14
ar,20200319,18
ar,20200320,31
ar,20200321,30
ar,20200322,67
ar,20200323,41
ar,20200324,35
ar,20200325,86
ar,20200326,115
ar,20200327,87
ar,20200328,101
ar,20200329,55
ar,20200330,75
ar,20200331,146
ar,20200401,0
ar,20200402,167
ar,20200403,0
ar,20200404,132
ar,20200405,186
ar,20200406,103
ar,20200407,74
ar,20200408,87
ar,20200409,80
ar,20200410,99
ar,20200411,81
ar,20200412,162
ar,20200413,66
ar,20200414,69
ar,20200415,160
ar,20200416,0
ar,20200417,128
ar,20200418,98
ar,20200419,170
ar,20200420,102
ar,20200421,90
ar,20200422,112
ar,20200423,144
ar,20200424,147
ar,20200425,0
ar,20200426,344
ar,20200427,0
ar,20200428,223
ar,20200429,124
ar,20200430,158
ar,20200501,143
ar,20200502,104
ar,20200503,149
ar,20200504,102
ar,20200505,104
ar,20200506,133
ar,20200507,188
ar,20200508,163
ar,20200509,240
ar,20200510,165
ar,20200511,13
ar,20200512,245
ar,20200513,529
ar,20200514,316
ar,20200515,255
ar,20200516,345
ar,20200517,326
ar,20200518,0
ar,20200519,566
ar,20200520,438
ar,20200521,474
ar,20200522,648
ar,20200523,718
ar,20200524,704
ar,20200525,723
ar,20200526,552
ar,20200527,600
ar,20200528,705
ar,20200529,769
ar,20200530,717
ar,20200531,795
ar,20200601,637
ar,20200602,564
ar,20200603,904
ar,20200604,949
ar,20200605,0
